City_Name,Population,Infected
Jerusalem,914559,1424
Bnei Brak,195298,1323
Tel Aviv - Yafo,450192,387
Ashkelon,139032,207
Petah Tikva,242478,167
El'ad,46760,163
Rishon Lezion,241010,149
Beit Shemesh,120812,148
Modi'in Illit,73808,145
Netanya,213971,141
Ashdod,225073,140
Holon,185741,136
Bat Yam,130523,125
Be'er Sheva,196755,122
Ramat Gan,143370,118
Haifa,272584,106
Modi'in-Maccabim-Re'ut,87108,105
Beitar Illit,59240,96
Tiberias,44353,96
Or Yehuda,34843,93
Migdal HaEmek,26058,90
Ra'anana,73979,78
Herzliya,90900,77
Rehovot,137178,77
Efrat,10676,63
Yehud-Monosson,29104,62
Kfar Saba,97412,61
Afula,50886,51
Lod,75038,48
Zefat,35671,44
Ramla,75246,44
Kiryat Ono,37112,43
Kfar Habad,6724,42
Kokhav Ya'akov,8602,41
Kiryat Malakhi,23691,39
Kiryat Ye'arim,5713,38
Ramat HaSharon,44896,33
Shoham,20041,31
Hod HaSharon,59171,30
Ma'ale Adumim,37469,30
Givatim,55123,29
Giv'at Shmuel,24538,27
Yavne,45555,27
Netivot,36511,27
Rechasim,11841,27
Sderot,25891,27
Nahariya,58750,26
Kiryat Gat,55400,26
Rahat,64649,7
Lehavim,6178,6
Sakhnin,32089,6
Kiryat Ekron,10600,6
Karnei Shomron,7906,6
Alfei Menashe,7771,5
Ariel,18251,5
Bir al-Maksur,9866,5
Geva Binyamin,5299,5
Nesher,22032,5
Shlomi,6478,5
Iksal,14655,4
Bnei Aish,6837,4
Harish,8737,4
Tzur Hadassah,7856,4
Or Akiva,18893,3
Beit El,5767,3
Beit Dagan,6533,3
Jaljulia,10011,3
Tiraa,26184,3
Yafa an-Naseriyye,19056,3
Meiter,9043,3
Ma'ale Iron,14861,3
Tzur Itzhak,5954,3
Oranit,8822,2
Buq'ata,6586,2
Binyamina-Givat Ada,14383,2
Basmaa,10532,2
Basmat Tab'un,7833,2
Jedida-bestseller,20524,2
Jules,6147,2
Kfar Vradim,5599,2
Kafr Yasif,10577,2
Kafr Kanna,22449,2
Kafr Qara,18820,2
Eilabun,5677,2
Atlit,7442,2
Kiryat Tiv'on,15831,2
Ramat Yishai,7236,2
Shefa-'Amr,40666,2
Abu Ghosh,7792,1
Abu Rubiya,8446,1
Boina-Nujidat,9974,1
Bi'ina,8355,1
Bat Hefer,5124,1
Deir al-Assad,12435,1
Zemer,6926,1
Hurfeish,6288,1
Tuba-Zangaria,6648,1
Yeruham,10126,1
Kafr Qasim,23517,1
Majdal Shams,11089,1
Masudin al-Azazma,16644,1
Nahaf,13167,1
Ein Mahil,13388,1
Isfiya,12141,1
Arraba,25876,1
Pardesiya,6027,1
Caesarea Maritima,5272,1
Clansua,22740,1
Tel as-Sabi,19850,1
