"Rate of patients per 100,000",Actual insulation,Recovering,Verified patients,Are being tested,Population as of 2018,City
966.73,337,112,"1,888","8,964","195,298",Bnei Brak
682.65,15,21,39,409,"5,713",Kiryat Ye'arim
654.37,9,20,44,215,"6,724",Kfar Habad
651.01,34,4,56,294,"8,602",Kokhav Ya'akov
599.48,11,27,64,639,"10,676",Efrat
541.06,73,14,253,"1,909","46,760",El'ad
379.92,54,27,99,863,"26,058",Migdal HaEmek
335.79,49,19,117,"1,300","34,843",Or Yehuda
299.87,171,18,133,"1,524","44,353",Tiberias
295.36,87,8,218,"1,269","73,808",Modi'in Illit
271.78,61,10,161,"1,012","59,240",Beitar Illit
270.25,10,1,32,220,"11,841",Rechasim
236.91,14,3,28,364,"11,819",Azur
228.85,"1,021",139,"2,093","19,361","914,559",Jerusalem
223.34,39,21,65,930,"29,104",Yehud
220.86,43,0,23,526,"10,414",Daburiyya
217.21,8,2,32,762,"14,732",Jasser a-Zarqa
194.17,26,20,46,449,"23,691",Kiryat Malakhi
189.88,9,2,14,140,"7,373",Katzrin
188.49,18,10,25,299,"13,263",Even Yehuda
184.62,30,11,37,673,"20,041",Shoham
174.65,105,15,211,"2,041","120,812",Beit Shemesh
169.04,23,6,32,588,"18,930",Ganei Tikva
163.99,242,61,228,"3,505","139,032",Ashkelon
162.95,7,5,12,213,"7,364",Kiryat Arba
157.06,14,0,10,145,"6,367",ShibliUmm al-Ghanam
156.66,24,7,35,450,"22,341",Zikhron Ya'akov
154.19,46,12,55,623,"35,671",Zefat
151.13,41,0,18,615,"11,910",Jatt
142.64,45,9,35,640,"24,538",Giv'at Shmuel
138.72,16,0,8,106,"5,767",Beit El
137.23,6,3,11,232,"8,016",Omer
136.61,145,47,119,"2,683","87,108",Maccabim
132.1,4,0,7,96,"5,299",Geva Binyamin
132.03,37,16,49,"1,038","37,112",Kiryat Ono
124.26,38,2,23,461,"18,510",Giv'at Ze'ev
123.49,6,0,8,145,"6,478",Shlomi
123.01,78,24,91,"1,699","73,979",Ra'anana
112.01,32,3,29,602,"25,891",Sderot
111.56,30,10,25,555,"22,410",Gan Yavne
111.17,8,6,14,281,"12,593",Tel Mond
110.05,61,13,56,"1,101","50,886",Afula
109.33,39,6,33,636,"30,185",Ofakim
104.96,147,33,137,"2,496","130,523",Bat Yam
104.09,84,7,39,"1,033","37,469",Ma'ale Adumim
103.41,106,26,94,"2,013","90,900",Herzliya
101.73,506,131,458,"11,281","450,192",Tel Aviv - Yafo
101.19,14,0,8,124,"7,906",Karnei Shomron
98.44,9,3,9,267,"9,143",Kokhav Ya'ir
98.35,144,27,141,"3,591","143,370",Ramat Gan
97.12,8,3,6,214,"6,178",Lehavim
94.63,20,1,10,199,"10,567",Deir Hanna
93.12,78,3,34,675,"36,511",Netivot
89.91,300,36,218,"4,884","242,478",Petah Tikva
88.07,18,1,5,107,"5,677",Eilabun
86.87,31,16,39,"1,046","44,896",Ramat HaSharon
86.76,68,3,48,"1,039","55,324",Umm el-Fahm
86.62,80,16,65,"1,301","75,038",Lod
85.25,20,9,21,529,"24,633",Gedera
84.91,17,3,9,202,"10,600",Kiryat Ekron
83.81,334,44,202,"5,869","241,010",Rishon Lezion
81.83,184,20,152,"3,886","185,741",Holon
79.53,222,35,179,"4,273","225,073",Ashdod
79.41,44,7,37,640,"46,596",Carmiel
77.08,72,9,58,"1,392","75,246",Ramla
76.32,33,12,27,744,"35,377",Dimona
75.24,190,29,161,"3,394","213,971",Netanya
74.33,32,3,18,581,"24,216",Be'er Ya'akov
73.19,231,23,144,"4,455","196,755",Be'er Sheva
73.13,10,2,5,136,"6,837",Bnei Aish
70.83,95,17,69,"1,765","97,412",Kfar Saba
70.71,195,32,97,"2,777","137,178",Rehovot
70.24,43,12,32,"1,032","45,555",Yavne
67.21,22,3,14,437,"20,831",Kadima Zoran
67.18,7,0,4,128,"5,954",Tzur Itzhak
66.89,15,2,10,396,"14,949",Mazkeret Batya
65.72,7,4,14,452,"21,301",Kfar Yona
64.34,5,2,5,146,"7,771",Alfei Menashe
64.33,63,1,8,270,"12,435",Dyer al-Assad
63.65,15,3,5,251,"7,856",Tzur Hadassah
63.49,51,10,35,"1,262","55,123",Givatayim
63.18,28,7,35,883,"55,400",Kiryat Gat
63,144,4,34,"1,325","53,965",Rosh Ha'ayin
62.94,12,2,14,362,"22,243",Tirat Carmel
61.99,79,1,18,769,"29,035",Baqa al-Gharbiya
61.64,27,5,14,335,"22,711",Yokneam
61.63,55,2,27,"1,065","43,811",Nof Ha'Galil
61.23,11,0,4,127,"6,533",Beit Dagan
60.84,52,8,36,"1,167","59,171",Hod HaSharon
59.78,25,3,16,327,"26,763",Arad
56.29,33,3,13,604,"23,093",Mevaseret Zion
54.17,31,3,12,393,"22,152",Kiryat Shmona
53.83,17,0,8,166,"14,861",Ma'ale Iron
53.58,2,1,3,99,"5,599",Kfar Vradim
53.09,27,6,21,645,"39,556",Kiryat Yam
50.68,15,0,5,70,"9,866",Bir al-Maksur
49.95,11,0,5,209,"10,011",Jaljulia
49.89,222,24,136,"4,108","272,584",Haifa
49.41,7,3,11,237,"22,261",Ma'alot-Tarshiha
49.38,22,0,5,160,"10,126",Yeruham
47.66,55,11,28,"1,073","58,750",Nahariya
47.35,19,7,16,540,"33,792",Tamra
46.77,43,0,11,588,"23,517",Kafr Qasim
45.78,35,1,4,226,"8,737",Harish
44.23,14,0,4,348,"9,043",Meiter
43.83,112,0,8,436,"18,251",Ariel
43.32,14,0,3,161,"6,926",Zemer
41.28,11,0,7,185,"16,957",Kuseife
40.94,10,0,6,195,"14,655",Iksal
39.38,45,4,18,"1,008","45,714",Ness Ziona
37.19,64,9,35,"1,311","94,104",Hadera
35.82,7,0,2,89,"5,584",Sha'arei Tikva
35.77,10,1,8,270,"22,364",Maghar
35.36,53,4,20,924,"56,568",Eilat
35.02,28,5,20,807,"57,108",Kiryat Ata
34.18,1,0,2,52,"5,851",Pekiin
34.01,15,0,3,203,"8,822",Oranit
33.42,23,4,17,615,"50,872",Acre
33.18,2,1,2,135,"6,027",Pardesiya
32.95,8,0,4,254,"12,141",Isfiya
32.54,4,0,2,68,"6,147",Jules
31.88,33,0,6,371,"18,820",Kafr Qara
31.81,20,0,2,79,"6,288",Hurfeish
31.76,9,0,6,212,"18,893",Or Akiva
30.86,8,0,3,150,"9,722",Hatzor HaGlilit
30.56,31,2,12,578,"39,262",Kiryat Bialik
30.38,15,1,4,125,"13,167",Nahaf
30.37,5,2,2,58,"6,586",Buq'ata
29.39,49,3,19,"1,082","64,649",Rahat
28.48,5,0,3,197,"10,532",Basmaa
27.64,39,1,2,171,"7,236",Ramat Yishai
26.87,9,1,2,150,"7,442",Atlit
25.53,10,1,2,65,"7,833",Basmat Tab'un
24.62,20,2,10,590,"40,622",Pardes Hanna-Karkur
23.33,30,3,10,679,"42,870",Kiryat Motzkin
23.18,34,0,10,626,"43,144",Tayibe
22.69,13,2,5,306,"22,032",Nesher
22.41,16,0,3,108,"13,388",Ein Mahil
21.81,47,3,7,454,"32,089",Sakhnin
20.86,17,0,3,200,"14,383",Binyamina-Givat Ada
20.05,28,0,2,126,"9,974",Buayne-Nujidat
19.52,24,1,1,150,"5,124",Bat Hefer
18.97,14,0,1,113,"5,272",Caesarea Maritima
18.95,38,1,3,284,"15,831",Kiryat Tiv'on
18.91,6,1,2,121,"10,577",Kafr Yasif
16.53,4,0,2,90,"12,102","Kabul, Israel"
15.74,7,2,3,126,"19,056",Yafa an-Naseriyye
15.28,46,0,4,547,"26,184",Tiraa
15.23,15,0,2,181,"13,133",Fureidis
15.04,1,0,1,22,"6,648",Tuba-Zangaria
14.75,33,1,6,402,"40,666",Shefa-'Amr
14.06,54,1,11,772,"78,252",Nazareth
12.83,1,0,1,60,"7,792",Abu Ghosh
11.97,16,0,1,101,"8,355",Bi'ina
11.84,0,0,1,28,"8,446",Abu Rubeya (tribe)
11.7,3,0,1,42,"8,550",Kisra-Sumei
10.17,49,0,2,449,"19,667",Ar'ara
9.74,13,0,2,194,"20,524",Jadeida-acquaintance
9.02,7,1,1,61,"11,089",Majdal Shams
8.91,20,0,2,270,"22,449",Kafr Kanna
7.6,10,0,1,91,"13,164",Abu Snan
6.01,0,0,1,25,"16,644",Masudin al-Azazma
5.73,5,0,1,74,"17,465",Ar'arat an-Naqab
5.04,8,0,1,48,"19,850",Tel as-Sabi
4.4,34,1,1,235,"22,740",Clanswa
3.86,41,0,1,338,"25,876",Arraba
0,9,0,0,87,"20,003",Kafr Manda
0,3,0,0,195,"19,058",Beit She'an
0,10,0,0,168,"16,993",Daliyat al-Karmel
0,7,0,0,55,"16,983",Hura
0,7,0,0,123,"16,614",Reina
0,5,0,0,97,"15,418",Yarka
0,10,0,0,207,"15,275",Majd al-Krum
0,15,0,0,74,"14,695",Lakiya
0,9,0,0,86,"14,398",Tur'an
0,10,0,0,88,"13,062",I'billin
0,6,0,0,75,"11,757",garden House
0,3,0,0,26,"10,310",Shaqib al-Salam
0,0,0,0,17,"10,149",Self (tribe)
0,1,0,0,21,"9,696",Abu Rukake (tribe)
0,5,0,0,58,"8,649",Mashhad
0,9,0,0,51,"8,385",Starling
0,5,0,0,71,"8,243",Rama
0,3,0,0,30,"8,241",Ilut
0,5,0,0,37,"7,191","Sha'ab, Israel"
0,2,0,0,47,"6,514",Jan-Jat
0,0,0,0,7,"6,235",Abu Qurinath (tribe)
0,3,0,0,29,"5,780",Kavaya-Tabash-Hajjara
